lead_id,user_id,date_created,status,deal_stage,revenue,utm_source,utm_medium,utm_campaign
L-2000,U-2000,2025-04-01,converted,won,2161.593,facebook,cpc,pack_jeunes
L-2001,U-2001,2025-04-02,converted,proposal,2400.16,google,cpc,promo_printemps
L-2002,U-2002,2025-04-03,lost,won,0.0,google,cpc,pack_famille
L-2003,U-2003,2025-04-14,converted,lost,698.649,facebook,cpc,leads_immobilier
L-2004,U-2004,2025-04-06,lost,lost,0.0,facebook,cpc,pack_jeunes
L-2005,U-2005,2025-03-23,lost,proposal,0.0,facebook,cpc,auto_responsable
L-2006,U-2006,2025-04-03,lost,contacted,0.0,google,cpc,promo_printemps
L-2007,U-2007,2025-04-01,lost,won,0.0,facebook,cpc,leads_immobilier
L-2008,U-2008,2025-04-09,open,contacted,0.0,facebook,cpc,pack_jeunes
L-2009,U-2009,2025-04-11,converted,lost,2375.261,google,cpc,leads_auto
L-2010,U-2010,2025-03-26,open,proposal,0.0,facebook,cpc,protection_habitation
L-2011,U-2011,2025-04-09,converted,contacted,3458.245,email,email,assurance_sante
L-2012,U-2012,2025-03-22,open,won,0.0,google,cpc,pack_famille
L-2013,U-2013,2025-04-04,open,contacted,0.0,google,cpc,offre_hiver
L-2014,U-2014,2025-04-14,open,lost,0.0,google,cpc,leads_auto
L-2015,U-2015,2025-04-11,converted,won,3414.663,facebook,cpc,assurance_santé
L-2016,U-2016,2025-03-20,converted,contacted,1977.899,google,cpc,rentrée_assurance
L-2017,U-2017,2025-04-06,open,won,0.0,facebook,cpc,leads_immobilier
L-2018,U-2018,2025-04-06,converted,won,2673.86,facebook,cpc,assurance_santé
L-2019,U-2019,2025-03-19,converted,contacted,3004.148,google,cpc,leads_auto
L-2020,U-2020,2025-04-12,lost,lost,0.0,facebook,cpc,assurance_santé
L-2021,U-2021,2025-04-09,converted,lost,1770.7199999999998,google,cpc,leads_auto
L-2022,U-2022,2025-03-29,open,proposal,0.0,facebook,cpc,pack_jeunes
L-2023,U-2023,2025-04-08,converted,contacted,2605.344,google,cpc,pack_famille
L-2024,U-2024,2025-03-26,open,won,0.0,google,cpc,promo_printemps
L-2025,U-2025,2025-04-02,open,lost,0.0,facebook,cpc,pack_jeunes
L-2026,U-2026,2025-04-16,lost,lost,0.0,facebook,cpc,auto_responsable
L-2027,U-2027,2025-03-23,converted,won,2249.9049999999997,google,cpc,pack_famille
L-2028,U-2028,2025-04-11,converted,proposal,1902.6,facebook,cpc,protection_habitation
L-2029,U-2029,2025-04-15,converted,won,2466.45,google,cpc,promo_printemps
L-2030,U-2030,2025-03-17,converted,won,1294.9089999999999,google,cpc,leads_auto
L-2031,U-2031,2025-03-21,open,proposal,0.0,facebook,cpc,leads_immobilier
L-2032,U-2032,2025-03-25,converted,contacted,2174.438,google,cpc,pack_famille
