campaign_id,subject,utm_campaign,date_sent,recipients,open_rate,click_rate,unsubscribes,conversions,revenue
EM-001,Offre spéciale assurance auto,leads_auto,2025-04-07,1346,0.41,0.16,0,34,766.87
EM-001,Offre spéciale assurance auto,leads_auto,2025-04-05,2634,0.26,0.22,10,7,2546.56
EM-001,Offre spéciale assurance auto,leads_auto,2025-03-17,1478,0.15,0.04,10,33,2364.83
EM-001,Offre spéciale assurance auto,leads_auto,2025-04-04,1490,0.12,0.05,7,21,962.76
EM-001,Offre spéciale assurance auto,leads_auto,2025-03-19,2438,0.45,0.44,10,8,4386.04
EM-001,Offre spéciale assurance auto,leads_auto,2025-03-22,2781,0.39,0.32,8,50,722.02
EM-001,Offre spéciale assurance auto,leads_auto,2025-04-01,2809,0.51,0.35,1,42,3824.27
EM-001,Offre spéciale assurance auto,leads_auto,2025-03-20,1252,0.47,0.46,3,10,1515.64
EM-001,Offre spéciale assurance auto,leads_auto,2025-04-02,1768,0.55,0.1,3,38,4232.29
EM-001,Offre spéciale assurance auto,leads_auto,2025-03-22,2865,0.13,0.08,4,26,149.91
EM-001,Offre spéciale assurance auto,leads_auto,2025-04-01,1613,0.39,0.29,0,10,3243.96
EM-001,Offre spéciale assurance auto,leads_auto,2025-03-21,1805,0.31,0.09,2,0,0.0
EM-001,Offre spéciale assurance auto,leads_auto,2025-04-10,2727,0.48,0.46,0,12,1390.42
EM-001,Offre spéciale assurance auto,leads_auto,2025-03-24,2018,0.45,0.19,7,1,4733.74
EM-001,Offre spéciale assurance auto,leads_auto,2025-04-15,1425,0.26,0.17,4,47,4223.49
EM-001,Offre spéciale assurance auto,leads_auto,2025-04-08,1459,0.23,0.11,2,29,4665.83
EM-001,Offre spéciale assurance auto,leads_auto,2025-04-11,1136,0.37,0.04,4,49,2453.05
EM-001,Offre spéciale assurance auto,leads_auto,2025-03-18,2135,0.22,0.16,10,20,4565.57
EM-001,Offre spéciale assurance auto,leads_auto,2025-03-27,2095,0.34,0.17,0,12,2704.72
EM-001,Offre spéciale assurance auto,leads_auto,2025-03-29,1071,0.54,0.33,4,16,4160.13
EM-001,Offre spéciale assurance auto,leads_auto,2025-04-12,1605,0.35,0.13,5,41,1709.4
EM-001,Offre spéciale assurance auto,leads_auto,2025-04-10,1161,0.21,0.14,6,9,1494.67
EM-001,Offre spéciale assurance auto,leads_auto,2025-03-30,1106,0.37,0.26,7,13,2718.32
EM-001,Offre spéciale assurance auto,leads_auto,2025-03-28,2845,0.36,0.28,5,31,1519.09
EM-001,Offre spéciale assurance auto,leads_auto,2025-04-05,2927,0.42,0.4,5,21,809.05
EM-001,Offre spéciale assurance auto,leads_auto,2025-04-08,922,0.13,0.12,2,4,578.32
EM-001,Offre spéciale assurance auto,leads_auto,2025-03-20,1660,0.59,0.26,4,32,4746.27
EM-001,Offre spéciale assurance auto,leads_auto,2025-04-13,2650,0.52,0.25,10,2,3583.9
EM-001,Offre spéciale assurance auto,leads_auto,2025-03-19,1236,0.47,0.47,5,22,536.96
EM-001,Offre spéciale assurance auto,leads_auto,2025-04-08,2823,0.44,0.28,3,45,2806.94
EM-002,Promo printemps sur l'habitation,promo_printemps,2025-03-17,1561,0.43,0.42,8,20,4884.18
EM-002,Promo printemps sur l'habitation,promo_printemps,2025-04-15,1019,0.26,0.03,10,11,2694.08
EM-002,Promo printemps sur l'habitation,promo_printemps,2025-04-02,2645,0.37,0.33,7,30,609.24
EM-002,Promo printemps sur l'habitation,promo_printemps,2025-03-31,1388,0.39,0.22,2,19,608.9
EM-002,Promo printemps sur l'habitation,promo_printemps,2025-03-17,1693,0.36,0.3,5,14,3690.48
EM-002,Promo printemps sur l'habitation,promo_printemps,2025-04-02,821,0.4,0.19,1,9,1219.77
EM-002,Promo printemps sur l'habitation,promo_printemps,2025-03-19,2290,0.29,0.25,4,21,3213.29
EM-002,Promo printemps sur l'habitation,promo_printemps,2025-03-31,1350,0.24,0.23,6,36,3252.09
