campaign_id,campaign_name,ad_group_name,segments_keyword_info_text,segments_keyword_info_match_type,segments_device,segments_date,metrics_clicks,metrics_impressions,metrics_cost_micros,metrics_conversions,utm_campaign,cost_euros
100000,Promo_Printemps,Promo_Printemps_groupe_2,promo assurance logement,BROAD,DESKTOP,2025-03-17,22,264,11382268.5,3,promo_printemps,11.3822685
100001,Leads_Auto,Leads_Auto_groupe_3,assurance auto jeune conducteur,PHRASE,TABLET,2025-04-07,135,1215,216683685.0,43,leads_auto,216.683685
100002,Offre_Hiver,Offre_Hiver_groupe_1,protection maison hiver,EXACT,TABLET,2025-03-21,69,897,82358460.0,3,offre_hiver,82.35846
100003,Rentrée_Assurance,Rentrée_Assurance_groupe_2,rentrée mutuelle santé,BROAD,MOBILE,2025-04-08,21,315,83242647.0,1,rentrée_assurance,83.242647
100004,Pack_Famille,Pack_Famille_groupe_3,assurance famille nombreuse,BROAD,DESKTOP,2025-03-26,17,238,6843838.5,5,pack_famille,6.8438385
100005,Rentrée_Assurance,Rentrée_Assurance_groupe_1,rentrée mutuelle santé,PHRASE,MOBILE,2025-04-15,124,620,77058256.5,42,rentrée_assurance,77.0582565
100006,Leads_Auto,Leads_Auto_groupe_3,devis assurance voiture,EXACT,MOBILE,2025-03-25,23,253,158381608.5,4,leads_auto,158.3816085
100007,Offre_Hiver,Offre_Hiver_groupe_3,assurance tempête,EXACT,MOBILE,2025-04-10,176,2992,104311669.5,77,offre_hiver,104.3116695
100008,Promo_Printemps,Promo_Printemps_groupe_3,devis assurance printemps,BROAD,TABLET,2025-04-07,117,1053,51189259.5,20,promo_printemps,51.1892595
100009,Pack_Famille,Pack_Famille_groupe_1,assurance vie famille,PHRASE,TABLET,2025-04-11,285,4845,184641943.5,125,pack_famille,184.6419435
100010,Offre_Hiver,Offre_Hiver_groupe_3,assurance hivernale,EXACT,DESKTOP,2025-03-20,287,4879,205409952.0,140,offre_hiver,205.409952
100011,Rentrée_Assurance,Rentrée_Assurance_groupe_2,assurance étudiant,PHRASE,DESKTOP,2025-03-30,88,1760,195459565.5,5,rentrée_assurance,195.4595655
100012,Leads_Auto,Leads_Auto_groupe_1,assurance auto jeune conducteur,BROAD,TABLET,2025-03-18,197,985,45307606.5,92,leads_auto,45.3076065
100013,Promo_Printemps,Promo_Printemps_groupe_2,promo assurance logement,BROAD,TABLET,2025-04-06,92,1656,151564999.5,13,promo_printemps,151.5649995
